bridge spider	# a large  often found on bridges and near water ().
blow away	# # en To cause to go away by blowing, or by wind.#: ''He '''blew away''' the dust which had collected on the book.''# en To disperse or to depart on currents of air.#: ''I didn't have to rake. The leaves just '''blew away'''.''# en To kill (someone) by shooting them.#: ''The kid just '''blew''' the clerk '''away'''.''# en To flabbergast; to impress greatly.#: ''The critics were '''blown away''' by their latest album.''# en To overwhelm.|lang=en|date=February 5, 2011|author=Paul Fletcher|title=Newcastle 4 - 4 Arsenal|work=BBC|url=http://news.bbc.co.uk/sport2/hi/football/eng_prem/9384154.stm|page=|passage=Newcastle were completely '''blown away''' during the opening half of the match but worked up a head of steam after the interval that saw them score four goals in 19 minutes against a bruised and beleaguered Arsenal.}}enlb|en|transitive}}
bicycle	# To travel or exercise using a bicycle.
bicyclo	# en A radical having two rings (either fused, or having a common bridgehead atom)
bilingual dictionary	# A translation dictionary in two languages.
boron-11	# en A stable isotope, , having five protons and six neutrons, that makes up about 80% of natural boron.
bardlet	# An inferior bard or poet.
Biwa trout	# , an anadromous salmonid fish.Category:en:Salmonids
bed screw	# en A form of jack screw for lifting large bodies and assisting in launching.# A long screw formerly used to fasten a bedpost to one of the adjacent side pieces.
blacknose	# A breed of domestic sheep from the Valais
busload	# The amount that can fit on a bus.
business lunch	# Lunch where business is discussed, which can be write off|written off as a business expense.
bassarisk	# en Any member of the genus ''Bassariscus''.Category:en:Procyonids
barodenervation	# denervation by changes in blood pressure
brass hat	# en A high-ranking officer.
Bunyanian	# Of or relating to  (1628–1688), English Christian writer and preacher, best known for his allegorical book ''''.Category:English eponyms
break of gauge	# en an occurrence where a railway with one track gauge meets another railway of a different gauge, thus requiring transhipment of goods and passengers, or a change of bogies on the train.
backtranslated	# translated back to the original language# en produced by backtranslation
battered woman syndrome	# en A legal defense according to which a female murderer had no choice but to kill her violent partner in response to cumulative abuse rather than a single provocation.
balletgoer	# One who attends a performance of ballet.Category:en:People
bileptonic	# en Of or pertaining to bileptons, or to systems of two leptons.
balian	# A Balinese shaman or traditional healer.
bioalcohol	# alcohol produced, by fermentation of crops, for use as a biofuel; especially bioethanol
bicontinuous	# en homeomorphic# en Being a continuous phase composed of two immiscible liquids interacting through rapidly changing hydrogen bonds
brunisol	# Any soil that has a developed B horizon but does not meet the requirements of any of the other soil orders.#: ''Many '''brunisols''' have brownish B horizons without much evidence of clay accumulation, as in luvisols, or amorphous materials, as in podzols.''
brain-teaser	# A complex riddle or puzzle.
brutalitarian	# A brutal totalitarian.
biodecontamination	# biological decontamination
bosentan	# A dual endothelin receptor antagonist important in the treatment of pulmonary artery hypertension.
biffin	# A deep-red cooking apple native to Britain.# Such an apple baked and flattened as a snack, popular in Norfolk.Category:en:Apple cultivarsCategory:en:Fruits
back the field	# In horse racing, to bet against a particular horse or horses, that some one of all the other horses, collectively designated "the field", will win.
bring to the table	# en To contribute (something) to a group effort.
bateleur	# A species of eagle, ''Terathopius ecaudatus'', endemic to Africa and Arabia.
barbarous	# en Not classical or pure.# uncivilized, uncultured# Like a barbarian, especially in sound; noisy, dissonant.#: I did but prompt the age to quit their cloggs#: By the known rules of antient libertie,#: When strait a barbarous noise environs me#: Of Owles and Cuckoes, Asses, Apes and Doggs - s:I did but prompt the age to quit their cloggs|I did but prompt the age to quit their cloggs, w:John Milton|John Milton (1673)
Bukowskian	# Of or relating to  (1920–1994), German-American writer whose work often addresses the ordinary lives of poor Americans and the drudgery of work.Category:English eponyms
billowing	# The act of something that billows; a billow.
boingy	# Producing an elastic, bouncy sound, like a "boing"
brains trust	# en A group of experts who discuss events in public, especially on television or radio.# en Any group of advisors, whether experts or just friends or acquaintances, who are willing to offer their knowledge or ideas on a topic or issue.
bennettite	# Any extinct plant of the order Bennettitales
beachsalmon	# A fish () native to the coasts of southern New Guinea, Queensland, and Western Australia.
brandishing	# The action of the verb ''to brandish''.
benorterone	# A particular antiandrogen related to testosterone.Category:en:Drugs
Beaconite	# en A supporter of  and his book ''A Beacon to the Society of Friends'', which claimed that too much emphasis was placed by Quakers on the Inner Light at the expense of Biblical authority.
bleasdaleite	# en A monoclinic-prismatic mineral containing bismuth, calcium, chlorine, copper, hydrogen, iron, oxygen, and phosphorus.
buttprint	# en The mark or impression left by buttocks having been pressed against a surface.
brain cramp	# en A temporary mental lapse, such as an inability to remember something, to focus one's attention, to understand something, or to perform some other mental task of which one would ordinarily be capable.
breechesless	# Not having any breeches.# Not wearing breeches; pantless.
bottom of the ninth	# In baseball, the second part of the ninth and final inning. The end of the game.#: ''Hitting a home run with the bases loaded in the bottom of the ninth let the home team finish ahead of the visitors.''# en By extension, any last chance or final opportunity.
bandmixing	# en The mixing of the components of the conduction bands of a semiconductor|passage=This is a surprising finding since the '''bandmixing''' has an even larger influence on the strength of the photocurrents than the absorption coefficient. }}
be like	# To be similar to something.#: |chapter=1|url=http://openlibrary.org/works/OL1521052W|passage=She '''was like''' a Beardsley ''Salome'', he had said. And indeed she had the narrow eyes and the high cheekbone of that creature, and as nearly the sinuosity as is compatible with human symmetry. His wooing had been brief but incisive.}}lb|en|informal|chiefly|US|and|MLE}}ux|en|If he''''s like''' "I don't want to", then '''be like''' "Pretty please! - it means a lot to me".}}
biharmonic	# Any equation of this kind.
Biles	# A gymnastic maneuver consisting of a double half layout, with full twist and blind landing.
brown fat	# brown adipose tissue
buzzie	# en A hand-held pneumatic drill used in mining.# en A woman's breast.# en A capped double-reed instrument.# A bur.# A buzzing insect.# en A gypsy.# en Police officer.# en Anything that produces a buzzing sensation.
batrachite	# A pale greenish-grey variety of montmorillonite.Category:en:Gems
bewriting	# en A description.
badly	# In a bad manner.# Very much; to a great degree.#: ''I want it so '''badly'''.''
bun stock	# large solid box-like structure formed during the production of polystyrene insulation
bylined	# Having a byline.
balm of Gilead	# A rare perfume produced in Gilead and used medicinally, mentioned in the Bible. It is sometimes thought to have come from the plant , and sometimes from a terebinth tree in the genus ''Pistacia''.#: 
badla	# en An indigenous carryforward system used on the Bombay stock exchange|Stock Exchange.
byliner	# A journalist who writes bylines.
birth father	# The genetic father of a child (as opposed to an adoptive or stepfather)
basket toss	# en A stunt in which three or more bases toss a flyer into the air.
bolyerid	# en Any member of the Bolyeridae.
back to the wall	# en  A very difficult situation with no beneficial option|options available for action.|lang=en|date=22 May 2016|author=Phil McNulty|title=Crystal Palace 1-2 Manchester United|work=BBC|url=http://www.bbc.com/sport/football/36292265|page=|passage=The England international may not have been at his best but it was his intervention when United '''had their backs to the wall''' and trailed that dragged them back into a cup final they were in danger of losing.}}
